,t,RSI_Total,Adv_Total,Hill_Total,Jack_Total,Tiered_Total,Loser_Total,Random_Total,Pred_Total,Insider_Total
0,10449,399490.93886,399515.80263414956,401469.7087,394613.1994941034,397192.65759229835,399047.92735000007,405001.07561373885,398194.6936434726,399105.7626338533
0,10450,399471.87286,399455.8616746976,401382.4087000001,394463.5164581665,397211.08270572795,398876.59735000005,404841.95937696326,398147.7558079992,399034.9098409573
0,10451,399530.62086,399686.3248362582,401675.86870000005,394628.6667268224,397358.4836131648,399107.93735,405186.43228276866,398296.1856770151,399191.08241832297
0,10452,399524.99086,399633.35938399157,401630.48870000005,394807.6476976016,397211.08270572795,399279.73735,405246.3101203469,398279.5572449431,399217.5037645186
0,10453,399579.49686,399834.73078983545,401863.37870000006,394825.8664178793,397487.45940717205,399308.01735000004,405366.54279750795,398423.2131853985,399355.6921152407
0,10454,399590.84286,399892.3465802255,401935.4587000001,394828.2955806042,397524.30963403126,399336.29735000007,405452.6605392217,398451.1770536532,399374.1172286703
0,10455,399573.69486,399874.8806698177,401931.17870000005,394818.57892985124,397376.9087265944,399392.85735,405593.4053130055,398400.31210813107,399300.4167749518
0,10456,399625.58686,400023.28662339493,402119.84870000003,395050.8570249155,397505.8845206016,399619.61735,405773.516265329,398535.5937603582,399483.63885775104
0,10457,399620.06486,400036.66991672246,402141.0687000001,395006.6966574722,397469.03429374244,399616.15735000005,405849.13658325386,398518.14048301824,399443.07142318663
0,10458,399551.81486,399821.91521755105,401879.5487000001,394808.55987903936,397229.50781915756,399420.90735000005,405653.28079291055,398339.2109182804,399226.55586963095
0,10459,399590.29486,399930.1712911461,401993.0287000001,394824.65183660237,397469.03429374244,399392.85735,405606.5264420237,398444.8090589775,399346.4795585259
0,10460,399563.70886,399841.70629702066,401894.05870000005,394814.63278576604,397321.6333863056,399392.62735,405585.5326318223,398373.5427812108,399272.618653205
0,10461,399532.51886,399757.32391997566,401767.6587000001,394541.27311688755,397358.4836131648,399098.02735000005,405348.1697727934,398295.9516496504,399144.7119052217
0,10462,399443.42686,399420.92985388206,401376.0987000001,394512.12316443335,396916.2808908543,399041.46735000005,405123.4497732932,398062.0361097553,398923.6105440664
0,10463,399422.58286,399303.37310404005,401220.3987000001,394471.2941784843,396897.8557774247,398926.49735,404878.21718300186,398013.31996580726,398893.37882743374
0,10464,399372.93085999996,399113.0598224618,401000.4687000001,394472.131641595,396639.9041894102,398911.78735,404760.60895420884,397882.7616438554,398773.86967796966
0,10465,399326.98886,398935.56211316795,400755.1487000001,394211.4628116945,396639.9041894102,398572.1273500001,404356.2592519737,397770.59937674657,398635.56039667805
0,10466,399304.41286,398875.621153716,400666.49870000005,393462.28253509384,396658.3293028398,398369.7473500001,404197.1425059407,397714.05542559293,398543.0466374544
0,10467,399281.82486,398831.38865665335,400613.43870000006,393293.4136273256,396584.6288491214,398287.40735000005,404186.6442522509,397652.9838692602,398448.7547369266
0,10468,399343.17485999997,398988.5275654346,400804.5887000001,393575.85784894094,396787.30509684706,398493.70735000004,404296.38294593996,397816.1173122716,398674.2824010675
0,10469,399331.28086,398968.73648596497,400790.0787000001,393594.4395422142,396695.17952969903,398521.98735000007,404364.1311070282,397781.7854493413,398628.21961749345
0,10470,399339.50486,399064.1769872756,400918.73870000005,393635.9245575172,396676.7544162694,398584.0573500001,404604.1143780884,397796.3368380881,398603.12235213845
0,10471,399327.65686,398946.6202374336,400766.49870000005,393628.643183521,396658.3293028398,398548.66735000006,404358.88309300505,397772.24081284634,398628.4068899453
0,10472,399291.53286,398816.2479153073,400631.73870000005,393744.03007521044,396381.9526013958,398656.29735000007,404400.3902974925,397673.464010517,398545.5743420604
0,10473,399263.35886,398696.3659964035,400460.9687,393453.6238165675,396418.80282825493,398401.72735000006,404082.15926872357,397606.8412455369,398465.32171999774
0,10474,399276.79286,398671.92457881046,400431.69870000007,393610.18981758435,396437.2279416846,398504.54735000007,404003.91635461873,397646.1347028843,398565.99169009563
0,10475,399106.91144,398359.40420926665,400036.3287000001,393445.3479952858,396271.40192081814,398334.86735,403495.0825817473,397505.0496638641,398483.07867966243
0,10476,398987.83364,398180.14905195415,399835.5387000001,393636.47346813406,396031.8754462333,398475.8673500001,403380.10113258957,397431.5636233074,398481.4078217559
0,10477,398934.20364,398027.09276025335,399629.75870000006,393407.6106921951,396013.45033280365,398269.59735,403053.9982185879,397353.18553443317,398407.2123660583
0,10478,399014.69764,398295.3806327344,399975.6687000001,393563.8686321619,396105.5758999517,398439.73735,403552.3350957893,397458.8153256011,398453.59605283727
0,10479,399033.30764,398323.90466740786,399991.2787000001,393492.2021606724,396271.40192081814,398359.25735,403414.2141554924,397511.1793943981,398519.8220966181
0,10480,398959.03164000006,398099.8492919896,399690.29870000004,393197.1430633881,396252.9768073885,398084.46735000005,402926.37246511935,397408.77099624445,398437.2831575943
0,10481,398837.06964,397709.9220525861,399211.4587,393126.5759724163,395958.17499251483,397986.54735000007,402399.17028857296,397227.59102672234,398339.9431501146
0,10482,398814.95364,397725.6305149754,399237.0387000001,392941.33974066837,395866.04942536686,397876.35735000006,402547.78500486666,397151.83585268486,398177.5529547814
0,10483,398837.48864,397816.4206781625,399342.50870000006,392854.900634593,395958.17499251483,397819.07735000004,402641.7740207042,397180.0277060175,398163.92774225277
0,10484,398811.88564000005,397725.6305149754,399235.8587000001,392904.075336592,395866.04942536686,397849.21735000005,402547.78455973795,397143.43939601624,398158.61966569506
0,10485,398830.55664,397783.24630536546,399307.93870000006,392931.44219931687,395902.899652226,397877.49735,402633.9023014517,397171.40326427086,398177.04477912467
0,10486,398818.26664000005,397776.83851922327,399316.0287,392972.71322991414,395773.9238582188,397934.05735,402777.2713010391,397129.4377089181,398112.5568821211
0,10487,398913.23664,397927.00192081917,399477.98870000005,393239.15188878996,396142.4261268109,398090.01735000004,402668.0207224831,397352.84386157163,398445.0652970592
0,10488,398903.86164,397880.44425469474,399420.11870000005,393271.11611377174,396124.0010133813,398104.0573500001,402584.52790067205,397346.8721633763,398465.3758351908
0,10489,398937.30064000003,397986.942880271,399563.86870000005,393400.5068198214,396124.0010133813,398228.68735,402827.1364235953,397389.67748647777,398493.1339624106
0,10490,398926.61364000005,397902.5605032261,399450.13870000007,393440.3062947123,396160.8512402405,398225.4973500001,402589.77834404167,397402.2415294863,398568.51939470164
0,10491,398899.85964000004,397804.7948328536,399307.86870000005,393270.04921175906,396234.5516939589,398057.40735000005,402276.79718525626,397380.1723559245,398567.0216885809
0,10492,398830.8456400001,397645.3307550107,399108.9887000001,393044.9407428065,396087.1507865221,397880.32735000004,402094.0628219409,397251.3610986164,398409.24459519103
0,10493,398722.14364,397402.05202116596,398833.2187000001,392903.3799405615,395681.7982910708,397796.83735000005,402036.3284849243,397029.74473717413,398148.3244157846
0,10494,398804.79464000004,397732.6060221606,399268.30870000005,393023.3985105933,395700.2234045004,397974.53735000006,402766.7750617453,397106.3636768314,398103.9461372889
0,10495,398756.30864,397633.08290376957,399153.9487,392916.69616797386,395534.39738363394,397904.84735,402743.1558865126,397004.7087723367,397972.41629132046
0,10496,398836.12264,397857.13827918796,399457.0587,393279.0206726163,395552.82249706355,398228.62735,403230.99838038057,397122.27348634135,398089.131421661
0,10497,398876.93364000006,398023.5778642162,399680.2687000001,393367.0226875191,395534.39738363394,398344.26735000004,403632.72018261417,397156.2300175586,398061.94828547444
0,10498,398892.46364000003,398014.27718796907,399639.3387,393281.7170635895,395755.4987447892,398230.91735,403340.7337280598,397222.2911915132,398172.3385144496
0,10499,398908.10764000006,398020.68497411127,399632.5387000001,393281.1842374486,395884.4745387964,398204.02735000005,403197.36521509616,397273.4359240716,398257.52466816624
0,10500,398996.24564000004,398288.9728465923,399981.38870000007,393530.2950545718,395976.6001059445,398441.78735000006,403695.70320134703,397399.98570049857,398351.08112605853
0,10501,399074.85764000006,398492.66942149785,400226.49870000005,393657.66403769795,396197.70146709966,398544.11735,403888.9332418868,397541.26868443895,398493.56167551904
